cliente_id,produto_id,quantidade,data_adicionado
59825,64156,2,2024-02-22
41759,28552,3,2024-06-30
87909,9463,4,2024-01-09
91851,53960,4,2024-10-01
80628,57270,3,2024-07-26
5407,12484,5,2024-06-07
28811,83057,2,2024-09-09
88631,36661,5,2024-07-16
83848,34558,3,2024-01-05
8276,28584,2,2024-09-23
90204,74980,1,2024-08-26
95023,81532,5,2024-06-18
60834,75985,4,2024-09-28
92103,86768,1,2024-01-06
65409,14977,1,2024-06-25
70449,53403,4,2024-08-14
33163,78360,1,2024-03-03
71539,78767,4,2024-03-06
70195,76434,2,2024-07-08
52981,43806,3,2024-06-26
2938,23193,1,2024-04-18
59555,76738,4,2024-06-05
33163,23348,2,2024-06-03
52485,8622,5,2024-09-09
5165,31082,5,2024-08-23
78328,9991,2,2024-06-22
48163,73202,2,2024-06-13
67828,15346,5,2024-04-20
11704,52779,3,2024-06-21
12739,24055,3,2024-03-26
26522,63100,5,2024-03-29
28894,78360,1,2024-02-22
27391,41550,1,2024-05-28
60593,86122,1,2024-05-15
15795,53537,5,2024-03-26
77130,52441,5,2024-03-14
36772,63096,1,2024-05-19
74718,14870,5,2024-08-10
4633,96223,2,2024-08-12
25581,5375,5,2024-05-31
87553,38614,2,2024-04-20
45569,46654,4,2024-08-15
31639,55925,5,2024-09-01
80616,49328,1,2024-05-18
82469,43610,3,2024-01-31
71531,96136,1,2024-01-08
1184,73289,5,2024-01-03
91671,35971,3,2024-09-08
91385,29288,3,2024-01-31
74708,98522,5,2024-07-26
52489,54178,3,2024-07-20
45265,50909,2,2024-04-27
10890,56470,1,2024-09-08
95934,92284,5,2024-10-09
1632,52601,1,2024-04-25
61624,11279,5,2024-05-28
10093,14971,4,2024-04-19
8698,3171,5,2024-07-07
55889,95974,1,2024-06-04
24752,56655,5,2024-05-10
46902,53752,4,2024-08-04
43956,38614,3,2024-09-23
18593,12484,1,2024-01-25
60434,59982,1,2024-08-04
26917,94997,4,2024-01-02
37828,54298,5,2024-07-05
67827,71399,3,2024-05-01
44978,97585,5,2024-01-09
28894,98522,5,2024-06-13
